Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
2.130631,0.178243,0.636454,-0.073260,21.592707,0.458210,-4.305055,0.000000
2.147663,0.260642,0.622416,-0.854701,46.205033,0.361773,-3.601954,-0.040000
2.164633,0.340575,0.605631,-1.538462,-0.000000,0.265056,-2.656801,-0.110000
2.181580,0.418018,0.597696,-1.538462,-23.055713,0.179678,-1.677070,-0.140000
2.198662,0.493446,0.590066,-1.538462,-0.000000,0.096621,-0.835653,-0.140000
2.213452,0.556447,0.581827,-1.636142,-0.000000,0.025380,-0.190183,-0.130000
2.230389,0.625789,0.571756,-1.733822,-0.000000,-0.054034,0.628181,-0.110000
2.247501,0.692608,0.563210,-1.733822,-0.000000,-0.129397,1.365861,-0.080000
2.264676,0.756207,0.558633,-1.489621,-22.788966,-0.197574,1.965226,-0.040000
2.279430,0.807930,0.559548,-1.050061,-23.643815,-0.248382,2.483907,0.000000
2.296288,0.863583,0.561685,-0.610501,-23.307545,-0.301898,2.887326,0.100000
2.313174,0.915494,0.568093,-0.073260,-45.971726,-0.347401,3.163956,0.180000
2.330110,0.963559,0.583963,0.854701,-72.564652,-0.379596,3.348376,0.210000
2.344908,1.002173,0.605631,1.880342,-69.307549,-0.396542,3.429060,0.250000
2.361741,1.042142,0.630655,2.759463,-47.097370,-0.411487,3.406007,0.280000
2.378691,1.078034,0.656291,3.394383,-22.855072,-0.421743,3.336850,0.280000
2.395685,1.109526,0.687419,4.175824,-45.557659,-0.422107,3.210061,0.270000
2.412607,1.136329,0.725872,5.152625,-46.163383,-0.410458,2.933431,0.260000
2.429504,1.158478,0.766461,5.982906,-46.726736,-0.392018,2.633748,0.250000
2.444221,1.173966,0.803693,6.617827,-46.472326,-0.370273,2.299487,0.250000
2.461144,1.187350,0.848859,7.252747,-45.583002,-0.338491,1.873016,0.250000
2.477949,1.195923,0.895247,7.789988,-23.687559,-0.300676,1.492650,0.240000
2.494885,1.199781,0.941024,8.131868,-0.000000,-0.258757,1.020073,0.210000
2.511737,1.198844,0.982834,8.131868,23.066098,-0.216011,0.605128,0.180000
2.526580,1.194077,1.016709,8.034188,-0.000000,-0.177368,0.328498,0.150000
2.543501,1.184150,1.054551,7.838828,23.188817,-0.129599,-0.144078,0.120000
2.560398,1.169489,1.090257,7.594628,23.162597,-0.079231,-0.582076,0.070000
2.578041,1.149162,1.123217,7.155067,21.876336,-0.025945,-1.031600,0.020000
2.593199,1.127651,1.146715,6.666667,22.916435,0.019064,-1.308230,0.000000
2.610510,1.098572,1.167468,5.836386,47.778429,0.068896,-1.654017,-0.050000
2.627455,1.065532,1.179370,4.810745,69.252878,0.113838,-1.826911,-0.090000
2.642305,1.032925,1.183642,3.833944,68.973068,0.150718,-1.999805,-0.140000
2.659134,0.991944,1.182727,2.661783,70.090105,0.190783,-2.276435,-0.170000
2.676016,0.946646,1.179065,1.684982,47.091957,0.232419,-2.391697,-0.180000
2.693321,0.895990,1.167163,0.512821,67.525551,0.271172,-2.506960,-0.170000
2.708757,0.847322,1.147631,-0.757021,70.564937,0.300309,-2.576117,-0.170000
2.725684,0.790314,1.119249,-2.173382,68.275751,0.328935,-2.622222,-0.180000
2.742688,0.729374,1.087205,-3.345543,68.344088,0.357831,-2.702906,-0.190000
2.759697,0.664909,1.051499,-4.420024,47.244007,0.386590,-2.691380,-0.180000
2.774391,0.606533,1.014572,-5.445665,68.359292,0.408039,-2.679853,-0.160000
2.791534,0.535456,0.964218,-6.764347,93.903283,0.428761,-2.714432,-0.150000
2.808906,0.460370,0.907759,-7.936508,67.510715,0.447389,-2.656801,-0.150000
2.823656,0.394362,0.857099,-8.864469,69.994309,0.462737,-2.656801,-0.170000
2.840498,0.316648,0.794842,-9.841270,47.260356,0.478194,-2.633748,-0.190000
2.857362,0.236549,0.728008,-10.818071,65.797648,0.491459,-2.541538,-0.190000
2.874200,0.154509,0.660258,-11.599512,45.822618,0.505749,-2.460855,-0.180000
2.891107,0.070289,0.587320,-12.380952,46.577993,0.517031,-2.414750,-0.170000
2.907995,-0.015440,0.509804,-13.260073,69.700583,0.525244,-2.368645,-0.180000
2.922804,-0.091746,0.440223,-13.894994,47.408010,0.531969,-2.299487,-0.190000
2.939631,-0.179518,0.359655,-14.481074,45.791888,0.539173,-2.241856,-0.190000
2.956503,-0.268417,0.276951,-15.018315,23.723221,0.545368,-2.299487,-0.180000
2.973350,-0.357835,0.192111,-15.506716,21.755524,0.549946,-2.391697,-0.200000
2.990033,-0.446779,0.113069,-15.604396,-0.000000,0.559849,-2.299487,-0.210000
3.006839,-0.536523,0.034028,-15.653236,-0.000000,0.570550,-2.334066,-0.200000
3.023639,-0.626134,-0.048981,-15.897436,-0.000000,0.577153,-2.391697,-0.200000
3.038535,-0.705303,-0.125582,-16.190476,-0.000000,0.579721,-2.345592,-0.220000
3.055305,-0.793884,-0.209506,-16.336996,-0.000000,0.584378,-2.403223,-0.230000
3.072189,-0.882243,-0.290379,-16.239316,-22.860173,0.591864,-2.518486,-0.250000
