Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
2.135719,-1.651468,-0.203708,-0.415140,89.113654,1.447760,-12.465641,-0.100000
2.140154,-1.643258,-0.212558,-0.952381,114.749055,1.430700,-12.477167,-0.120000
2.146635,-1.631053,-0.228428,-1.831502,138.677657,1.402625,-12.534799,-0.150000
2.152985,-1.618852,-0.244602,-2.612943,114.800500,1.374250,-12.384957,-0.220000
2.159337,-1.606414,-0.257115,-3.101343,45.396125,1.349299,-12.315800,-0.280000
2.163581,-1.597973,-0.262913,-3.247863,23.334094,1.335060,-12.073748,-0.370000
2.170380,-1.584241,-0.269322,-3.199023,-21.633754,1.314920,-11.635751,-0.420000
2.177019,-1.570584,-0.274205,-3.150183,-0.000000,1.296379,-11.059438,-0.460000
2.181255,-1.561741,-0.279088,-3.150183,-0.000000,1.282654,-10.748230,-0.480000
2.187591,-1.548334,-0.289769,-3.492063,70.162123,1.258565,-10.425495,-0.500000
2.194293,-1.533918,-0.306249,-4.078144,107.442574,1.227669,-10.183443,-0.510000
2.200761,-1.519782,-0.325475,-4.761905,90.621549,1.194307,-10.056654,-0.540000
2.205088,-1.510204,-0.338598,-5.250305,116.062330,1.171606,-9.999023,-0.570000
2.211675,-1.495439,-0.355688,-5.641026,42.806397,1.139751,-9.814603,-0.620000
2.218155,-1.480702,-0.369116,-5.787546,-0.000000,1.111586,-9.318974,-0.650000
2.224590,-1.465861,-0.380102,-5.787546,-23.500059,1.085759,-8.857924,-0.690000
2.228885,-1.455844,-0.388647,-5.885226,23.302242,1.067197,-8.454505,-0.690000
2.235290,-1.440744,-0.403906,-6.129426,46.059587,1.036837,-7.981929,-0.690000
2.241812,-1.425170,-0.423438,-6.617827,85.132473,1.001732,-7.693773,-0.690000
2.252522,-1.399175,-0.461891,-7.643468,93.432161,0.937285,-7.163565,-0.710000
2.258916,-1.383413,-0.485695,-8.229548,90.661656,0.897719,-6.898462,-0.730000
2.265334,-1.367413,-0.506752,-8.571429,67.719012,0.860661,-6.598779,-0.760000
2.271765,-1.351209,-0.526284,-8.717949,22.570517,0.824926,-6.057045,-0.790000
2.276046,-1.340325,-0.538796,-8.815629,23.583930,0.801529,-5.688205,-0.800000
2.282475,-1.323845,-0.558938,-9.010989,23.011684,0.764907,-5.238681,-0.790000
2.288871,-1.307286,-0.580911,-9.304029,45.987207,0.726375,-4.754579,-0.760000
2.293132,-1.296168,-0.596475,-9.548230,46.700105,0.699693,-4.547106,-0.700000
2.299534,-1.279336,-0.621195,-9.987790,70.226264,0.658141,-4.305055,-0.650000
2.305954,-1.262306,-0.645304,-10.280830,46.116617,0.617002,-4.005372,-0.580000
