Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
2.125416,-0.608039,-0.756085,-0.024420,-0.000000,-0.148045,-0.005763,-0.060000
2.131825,-0.641797,-0.755779,-0.024420,-0.000000,-0.113982,1.192967,-0.060000
2.138167,-0.675247,-0.754864,0.073260,-22.768702,-0.079617,0.927863,-0.060000
2.144425,-0.708273,-0.753643,0.122100,-23.400732,-0.045370,0.639707,-0.060000
2.148591,-0.730258,-0.753033,0.170940,-23.858608,-0.022775,0.466813,-0.060000
2.154834,-0.763181,-0.752117,0.170940,-0.000000,0.011064,0.155604,-0.060000
2.161101,-0.796187,-0.751202,0.219780,-0.000000,0.044986,-0.144078,-0.060000
2.167341,-0.828973,-0.751202,0.170940,23.850275,0.077771,-0.409182,-0.060000
2.173703,-0.862303,-0.751507,0.122100,22.667922,0.110796,-0.720391,-0.060000
2.177927,-0.884359,-0.752117,0.073260,22.865277,0.132242,-0.904811,-0.050000
2.184273,-0.917379,-0.753338,-0.024420,23.624728,0.164041,-1.204493,-0.050000
2.190619,-0.950232,-0.755779,-0.170940,23.257268,0.194453,-1.458071,-0.050000
2.196984,-0.982984,-0.758526,-0.317460,23.903152,0.224458,-1.849963,-0.060000
2.203336,-1.015450,-0.760662,-0.415140,-0.000000,0.254787,-2.126593,-0.070000
2.207494,-1.036570,-0.761578,-0.415140,-0.000000,0.274993,-2.357118,-0.080000
2.213819,-1.068476,-0.761578,-0.415140,-0.000000,0.306898,-2.599170,-0.090000
2.220110,-1.099929,-0.761273,-0.317460,-23.275766,0.338656,-2.749011,-0.090000
2.226392,-1.131034,-0.761578,-0.317460,-0.000000,0.369457,-2.991062,-0.100000
2.232665,-1.161765,-0.763104,-0.366300,-0.000000,0.398662,-3.279219,-0.100000
2.236904,-1.182333,-0.764630,-0.415140,-0.000000,0.417704,-3.475165,-0.100000
2.243254,-1.212831,-0.767376,-0.561661,23.416782,0.445455,-3.717216,-0.110000
2.249572,-1.242775,-0.770428,-0.708181,23.254627,0.472347,-4.005372,-0.120000
2.255902,-1.272355,-0.773480,-0.805861,22.804187,0.498875,-4.258950,-0.130000
2.260130,-1.291868,-0.775616,-0.854701,-0.000000,0.516252,-4.351160,-0.150000
2.266463,-1.320713,-0.778363,-0.952381,23.029793,0.542351,-4.593211,-0.160000
2.272818,-1.349170,-0.781109,-1.001221,-0.000000,0.568061,-4.720000,-0.170000
2.279215,-1.377305,-0.784771,-1.147741,23.435535,0.592533,-4.950525,-0.180000
2.285702,-1.405290,-0.789654,-1.294261,22.888270,0.615636,-5.134945,-0.190000
2.289975,-1.423412,-0.793317,-1.440781,46.283329,0.630096,-5.250208,-0.210000
2.296357,-1.449997,-0.799725,-1.636142,23.071293,0.650271,-5.457680,-0.220000
2.302701,-1.475840,-0.806744,-1.880342,22.924128,0.669096,-5.526838,-0.240000
2.308995,-1.500880,-0.813458,-2.075702,23.808695,0.687422,-5.676679,-0.260000
2.315344,-1.525518,-0.820783,-2.319902,22.652882,0.704735,-5.780415,-0.280000
2.319567,-1.541552,-0.826276,-2.466422,22.908747,0.715276,-5.849573,-0.300000
2.325940,-1.565198,-0.834516,-2.710623,46.121808,0.730682,-5.987888,-0.320000
2.332335,-1.588240,-0.843671,-2.954823,47.151574,0.744568,-6.045519,-0.340000
2.338705,-1.610495,-0.853132,-3.199023,47.617390,0.757363,-6.091624,-0.350000
2.349246,-1.645740,-0.871138,-3.687424,44.834759,0.774603,-6.149255,-0.380000
2.355652,-1.666173,-0.883040,-3.980464,46.833565,0.783134,-6.252991,-0.390000
2.362098,-1.685959,-0.895552,-4.273504,45.046732,0.790407,-6.252991,-0.400000
2.372674,-1.716699,-0.916609,-4.761905,69.605849,0.800090,-6.241465,-0.440000
2.378994,-1.734024,-0.929732,-5.006105,47.249455,0.804292,-6.229939,-0.460000
2.385327,-1.750581,-0.944076,-5.299145,46.467055,0.806505,-6.218413,-0.470000
2.391642,-1.766280,-0.958724,-5.592186,46.812160,0.807556,-6.172308,-0.480000
2.395904,-1.776413,-0.968795,-5.787546,45.165916,0.807618,-6.091624,-0.480000
2.402261,-1.790819,-0.984054,-6.080586,46.251978,0.806765,-6.103150,-0.490000
2.408568,-1.804272,-0.999924,-6.324786,22.898503,0.804348,-5.999414,-0.490000
2.414917,-1.816954,-1.015793,-6.568987,22.806726,0.801161,-6.022466,-0.500000
2.421308,-1.828842,-1.032273,-6.813187,23.355377,0.796569,-5.838046,-0.510000
2.425537,-1.836217,-1.043259,-6.959707,22.341587,0.792957,-5.745836,-0.510000
2.431901,-1.846575,-1.060960,-7.252747,46.892529,0.785616,-5.642100,-0.520000
2.438272,-1.856046,-1.078355,-7.496947,46.769409,0.777691,-5.561416,-0.520000
2.444749,-1.864743,-1.097276,-7.789988,46.940883,0.767467,-5.469206,-0.510000
2.449101,-1.870056,-1.110399,-7.936508,44.692923,0.759657,-5.400049,-0.510000
2.455655,-1.877248,-1.129625,-8.180708,45.345880,0.747623,-5.261734,-0.510000
2.462019,-1.883295,-1.148852,-8.376068,23.654736,0.734444,-5.008156,-0.510000
2.468380,-1.888414,-1.168078,-8.620269,45.797007,0.720336,-4.869841,-0.500000
2.472637,-1.891320,-1.181506,-8.766789,46.519817,0.709814,-4.754579,-0.500000
