Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
2.280066,0.384813,0.618448,-0.659341,22.071976,0.233635,-1.896068,-0.050000
2.295003,0.337788,0.613870,-0.757021,23.454318,0.276083,-2.218803,-0.060000
2.312056,0.280865,0.604715,-1.050061,23.632904,0.323850,-2.553065,-0.080000
2.329170,0.220492,0.590677,-1.538462,21.778653,0.370185,-2.887326,-0.100000
2.346244,0.157273,0.573587,-2.075702,23.131212,0.416314,-3.244640,-0.140000
2.361344,0.099088,0.555276,-2.612943,44.977497,0.456188,-3.429060,-0.180000
2.379114,0.028140,0.528115,-3.394383,69.401472,0.499975,-3.717216,-0.210000
2.394324,-0.034479,0.499733,-4.126984,45.200797,0.534212,-3.890110,-0.250000
2.411611,-0.107497,0.464332,-4.908425,43.299516,0.571829,-4.120635,-0.270000
2.428839,-0.181924,0.425269,-5.689866,43.874494,0.607193,-4.201319,-0.300000
2.443818,-0.247735,0.385595,-6.520147,66.223064,0.633330,-4.235897,-0.330000
2.461082,-0.324571,0.333715,-7.594628,67.951132,0.658286,-4.351160,-0.360000
2.478308,-0.401977,0.277256,-8.571429,68.626470,0.679234,-4.374212,-0.380000
2.493292,-0.469657,0.225071,-9.352869,47.016298,0.694728,-4.408791,-0.400000
2.510485,-0.547420,0.163119,-10.134310,43.594384,0.710539,-4.385739,-0.420000
2.527836,-0.625697,0.095979,-10.964591,44.044294,0.721676,-4.258950,-0.430000
2.542884,-0.693156,0.034028,-11.697192,45.643942,0.727184,-4.189792,-0.420000
2.559914,-0.768744,-0.040436,-12.527473,44.834759,0.728308,-4.005372,-0.420000
2.576994,-0.843443,-0.118257,-13.308913,45.081429,0.725186,-3.913162,-0.440000
2.591928,-0.907597,-0.187228,-13.894994,68.572867,0.720368,-3.694164,-0.440000
2.608963,-0.979191,-0.268101,-14.481074,46.962405,0.711090,-3.544322,-0.430000
2.626374,-1.050319,-0.350805,-14.871795,22.513464,0.699514,-3.475165,-0.430000
2.641447,-1.109993,-0.419776,-14.969475,-0.000000,0.690217,-3.290745,-0.420000
2.658437,-1.174887,-0.496681,-15.018315,-0.000000,0.678205,-3.129377,-0.400000
2.674093,-1.232242,-0.571450,-15.262515,21.238985,0.660792,-2.898852,-0.390000
2.691134,-1.291763,-0.653544,-15.506716,23.368699,0.638220,-2.772063,-0.390000
2.708168,-1.348000,-0.731670,-15.457875,-0.000000,0.616330,-2.622222,-0.390000
2.725639,-1.402041,-0.808881,-15.213675,-23.225625,0.593160,-2.357118,-0.370000
2.740559,-1.445108,-0.874800,-15.115995,-0.000000,0.570308,-2.207277,-0.360000
2.757513,-1.490405,-0.947127,-14.822955,-23.212466,0.543278,-2.126593,-0.350000
2.774657,-1.532099,-1.013046,-14.236874,-45.240727,0.519052,-1.942173,-0.330000
2.791766,-1.569412,-1.075914,-13.699634,-22.827057,0.493498,-1.757753,-0.300000
2.806975,-1.598851,-1.133288,-13.406593,-21.916124,0.465564,-1.596386,-0.290000
2.824337,-1.628038,-1.196765,-13.064713,-22.590429,0.431273,-1.481123,-0.290000
2.841712,-1.652409,-1.251698,-12.283272,-68.382112,0.400712,-1.342808,-0.270000
2.856858,-1.669626,-1.294118,-11.550672,-44.780853,0.375509,-1.158388,-0.250000
2.874586,-1.684931,-1.343557,-10.866911,-45.350899,0.341374,-0.985495,-0.230000
2.891843,-1.694749,-1.390860,-10.378510,-22.728283,0.303890,-0.870232,-0.200000
2.908988,-1.699497,-1.432059,-9.694750,-47.298548,0.267438,-0.674286,-0.190000
2.924313,-1.699502,-1.461662,-8.815629,-66.740881,0.237840,-0.535971,-0.180000
2.941562,-1.694719,-1.489433,-7.789988,-66.900722,0.205286,-0.409182,-0.170000
2.958790,-1.684901,-1.514763,-6.959707,-44.244063,0.170138,-0.305446,-0.150000
2.973854,-1.672220,-1.533379,-6.227106,-45.325813,0.138841,-0.224762,-0.120000
2.991097,-1.653068,-1.548943,-5.299145,-45.920200,0.104125,-0.086447,-0.110000
3.008280,-1.629138,-1.557794,-4.224664,-67.083292,0.071344,0.051868,-0.110000
3.023502,-1.603980,-1.562066,-3.394383,-45.674473,0.041914,0.155604,-0.100000
3.041094,-1.570381,-1.562676,-2.417582,-67.861091,0.007704,0.259341,-0.080000
3.056280,-1.537588,-1.560845,-1.684982,-44.383060,-0.023258,0.409182,-0.060000
3.073798,-1.495542,-1.555047,-0.854701,-45.190826,-0.059505,0.524444,-0.070000
3.088838,-1.455974,-1.544976,-0.024420,-69.213880,-0.089002,0.605128,-0.090000
3.106060,-1.406901,-1.527886,0.952381,-67.853598,-0.120985,0.778022,-0.100000
3.123672,-1.352764,-1.505913,1.880342,-66.144660,-0.153148,0.870232,-0.090000
3.138928,-1.302827,-1.484550,2.612943,-46.257200,-0.181723,0.962442,-0.090000
3.156326,-1.242644,-1.456168,3.443223,-43.865099,-0.213525,1.077705,-0.100000
3.171448,-1.187730,-1.426261,4.273504,-68.996299,-0.238531,1.123810,-0.110000
3.188461,-1.123289,-1.385672,5.347985,-69.613733,-0.262383,1.135336,-0.120000
