Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
2.129541,-0.729758,-0.068818,-0.024420,-0.000000,0.660940,-9.952918,-0.050000
2.135813,-0.762827,-0.075227,-0.463980,122.201240,0.687600,-11.589646,-0.050000
2.141580,-0.793261,-0.086824,-1.147741,129.816231,0.706437,-12.200537,-0.070000
2.147247,-0.823167,-0.099947,-1.831502,85.909001,0.723220,-12.615482,-0.110000
2.152918,-0.853082,-0.114595,-2.564103,113.953280,0.738487,-12.776850,-0.140000
2.159638,-0.888487,-0.132906,-3.394383,130.394661,0.755581,-12.961270,-0.190000
2.165252,-0.918005,-0.149386,-4.078144,85.603850,0.768619,-13.260952,-0.230000
2.170831,-0.947272,-0.164950,-4.615385,95.657255,0.782322,-13.514530,-0.300000
2.176427,-0.976535,-0.179599,-5.054945,42.333129,0.796936,-13.791160,-0.360000
2.183051,-1.011037,-0.193942,-5.347985,43.382044,0.817095,-14.067790,-0.440000
2.188668,-1.040151,-0.205539,-5.494505,43.483339,0.834612,-14.125421,-0.500000
2.194259,-1.068987,-0.216831,-5.641026,46.054409,0.852156,-14.263736,-0.570000
2.200947,-1.103267,-0.233921,-5.982906,43.865099,0.869346,-14.321368,-0.600000
2.206521,-1.131639,-0.251926,-6.520147,135.244286,0.879712,-14.425104,-0.650000
2.212033,-1.159497,-0.272679,-7.155067,131.482678,0.886818,-14.655629,-0.680000
2.218692,-1.192865,-0.301061,-8.034188,164.472109,0.891805,-14.840049,-0.750000
2.224249,-1.220461,-0.324559,-8.669109,138.256476,0.895902,-14.943785,-0.800000
2.229758,-1.247566,-0.347448,-9.206349,90.361717,0.900118,-15.012943,-0.890000
2.236398,-1.279887,-0.373388,-9.694750,87.003615,0.906499,-14.828523,-0.940000
2.241896,-1.306340,-0.395056,-10.036630,44.253621,0.911284,-14.644103,-1.000000
2.247401,-1.332529,-0.418860,-10.525031,88.756504,0.913669,-14.667155,-1.030000
2.253971,-1.363377,-0.452125,-11.306471,139.575298,0.911252,-14.609524,-1.080000
2.259441,-1.388704,-0.482948,-12.087912,184.924407,0.905756,-14.436630,-1.100000
2.264910,-1.413682,-0.515908,-12.918193,130.339350,0.897775,-14.160000,-1.160000
2.270504,-1.438868,-0.550698,-13.748474,135.542575,0.888170,-13.883370,-1.200000
2.277238,-1.468669,-0.593118,-14.676435,129.460720,0.875550,-13.583687,-1.270000
2.282794,-1.492817,-0.627909,-15.311355,137.391021,0.864908,-13.364689,-1.300000
2.288430,-1.516887,-0.662089,-15.848596,84.300417,0.854798,-12.880586,-1.320000
2.295141,-1.544976,-0.702983,-16.385836,84.666258,0.841993,-12.350379,-1.320000
2.300684,-1.567686,-0.738689,-16.971917,83.323169,0.828997,-12.039170,-1.310000
2.306221,-1.589919,-0.777752,-17.655678,176.025789,0.812167,-11.912381,-1.290000
2.311798,-1.611835,-0.818952,-18.388278,132.990703,0.792884,-11.209280,-1.260000
2.318249,-1.636578,-0.869001,-19.267399,92.150253,0.767577,-10.978755,-1.240000
2.323696,-1.656947,-0.912032,-20.000000,81.483696,0.744915,-10.517705,-1.200000
2.330159,-1.680478,-0.961166,-20.683761,92.629443,0.719312,-10.068181,-1.190000
2.335653,-1.699919,-1.000534,-20.976801,45.837998,0.699385,-9.745446,-1.190000
2.342427,-1.723166,-1.044785,-21.123321,-0.000000,0.678381,-8.915556,-1.190000
2.347680,-1.740633,-1.079881,-21.269841,-0.000000,0.660752,-8.454505,-1.170000
2.354272,-1.761837,-1.126574,-21.562882,74.328742,0.635263,-7.716825,-1.150000
2.359475,-1.778005,-1.166857,-21.953602,72.551802,0.611147,-7.198144,-1.090000
2.365855,-1.797129,-1.219654,-22.637363,113.953280,0.577476,-6.690989,-1.040000
2.372092,-1.815064,-1.272755,-23.321123,76.522231,0.542309,-6.010940,-0.970000
2.376748,-1.827958,-1.312734,-23.760684,83.475963,0.515224,-5.722784,-0.940000
2.383452,-1.845764,-1.367056,-24.200244,85.711302,0.478708,-5.065788,-0.920000
2.388937,-1.859657,-1.408560,-24.249084,-0.000000,0.451097,-4.639316,-0.920000
2.394437,-1.872969,-1.447929,-24.249084,-47.005510,0.425040,-3.867057,-0.910000
2.401017,-1.888067,-1.494926,-24.200244,-0.000000,0.393141,-3.279219,-0.900000
2.406506,-1.899967,-1.534600,-24.151404,-0.000000,0.365367,-2.668327,-0.850000
2.413019,-1.913253,-1.582208,-24.200244,-0.000000,0.331045,-2.092015,-0.800000
2.418486,-1.923702,-1.623713,-24.297924,-0.000000,0.299989,-1.642491,-0.730000
2.423989,-1.933563,-1.664912,-24.395604,41.900187,0.268651,-1.054652,-0.680000
2.430603,-1.944535,-1.713130,-24.395604,-0.000000,0.231405,-0.409182,-0.620000
2.436122,-1.952951,-1.753414,-24.395604,-0.000000,0.199537,0.121026,-0.590000
2.441602,-1.960634,-1.793393,-24.346764,-0.000000,0.167241,0.651233,-0.550000
2.448189,-1.968978,-1.838865,-24.200244,-44.697799,0.130113,1.504176,-0.530000
2.453748,-1.975256,-1.875792,-24.004884,-0.000000,0.099465,1.861490,-0.490000
2.459370,-1.980890,-1.911498,-23.711844,-43.326991,0.069393,2.357118,-0.450000
2.466072,-1.986664,-1.951476,-23.223443,-84.127315,0.035188,2.818168,-0.390000
2.471602,-1.990652,-1.982300,-22.735043,-88.698858,0.008352,3.256166,-0.340000
2.477100,-1.993919,-2.010376,-22.148962,-90.842577,-0.016457,3.625006,-0.270000
