Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
3.123300,0.449989,0.541238,-0.024420,-0.000000,0.091248,-0.005763,-0.080000
3.125773,0.449998,0.541238,-0.024420,-0.000000,0.091240,-0.466813,-0.080000
3.128131,0.449963,0.541238,-0.024420,-0.000000,0.091275,-1.435018,-0.080000
3.131484,0.449841,0.540932,-0.024420,-0.000000,0.091092,-1.561807,-0.080000
3.133741,0.449710,0.540627,-0.073260,-0.000000,0.090917,-1.573333,-0.080000
3.137289,0.449428,0.540017,-0.122100,-0.000000,0.090589,-1.584860,-0.080000
3.139789,0.449171,0.539406,-0.122100,-0.000000,0.090235,-1.596386,-0.080000
3.142401,0.448853,0.538796,-0.170940,-0.000000,0.089943,-1.607912,-0.080000
3.145008,0.448483,0.538186,-0.219780,38.760646,0.089703,-1.619438,-0.080000
3.147497,0.448082,0.537575,-0.219780,-0.000000,0.089493,-1.607912,-0.080000
3.151025,0.447434,0.536965,-0.268620,-0.000000,0.089531,-1.607912,-0.080000
3.153324,0.446961,0.536355,-0.268620,-0.000000,0.089394,-1.596386,-0.080000
3.156745,0.446183,0.535744,-0.317460,-0.000000,0.089562,-1.596386,-0.080000
3.159047,0.445609,0.535439,-0.317460,-0.000000,0.089830,-1.596386,-0.090000
3.162511,0.444671,0.535134,-0.317460,-0.000000,0.090463,-1.596386,-0.090000
3.164751,0.444016,0.534829,-0.317460,-0.000000,0.090812,-1.607912,-0.090000
3.168076,0.442974,0.534524,-0.317460,-0.000000,0.091549,-1.619438,-0.090000
3.170280,0.442238,0.534524,-0.317460,-0.000000,0.092286,-1.630965,-0.090000
3.173611,0.441055,0.534218,-0.317460,-0.000000,0.093163,-1.642491,-0.090000
3.175796,0.440234,0.534218,-0.317460,-0.000000,0.093984,-1.665543,-0.100000
3.179202,0.438883,0.534218,-0.268620,-0.000000,0.095335,-1.677070,-0.100000
3.182576,0.437458,0.533913,-0.268620,-0.000000,0.096455,-1.677070,-0.100000
3.184836,0.436456,0.533913,-0.268620,-0.000000,0.097457,-1.711648,-0.100000
3.187081,0.435423,0.534218,-0.268620,-0.000000,0.098796,-1.723175,-0.100000
3.190483,0.433786,0.533913,-0.219780,-42.909512,0.100128,-1.746227,-0.100000
3.193815,0.432097,0.533913,-0.219780,-0.000000,0.101816,-1.780806,-0.100000
3.196047,0.430920,0.533913,-0.219780,-0.000000,0.102993,-1.792332,-0.100000
3.199357,0.429107,0.533608,-0.219780,-0.000000,0.104501,-1.815385,-0.100000
3.201560,0.427854,0.533303,-0.219780,-0.000000,0.105449,-1.803858,-0.100000
3.204885,0.425895,0.533303,-0.219780,-44.561673,0.107408,-1.849963,-0.100000
3.207100,0.424545,0.532692,-0.268620,-0.000000,0.108148,-1.861490,-0.100000
