Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
4.123988,-0.001031,-0.066072,-0.024420,-0.000000,-0.065041,-0.005763,-0.800000
4.126416,-0.003094,-0.066072,-0.024420,-0.000000,-0.062978,1.089231,-0.800000
4.128684,-0.005158,-0.065766,-0.024420,-0.000000,-0.060608,2.564591,-0.800000
4.132053,-0.008256,-0.065156,0.024420,-0.000000,-0.056900,2.553065,-0.800000
4.134352,-0.010323,-0.064546,0.073260,-0.000000,-0.054223,2.426276,-0.800000
4.137823,-0.013426,-0.063020,0.170940,-41.308734,-0.049594,2.218803,-0.800000
4.140060,-0.015495,-0.061494,0.268620,-42.280704,-0.045999,2.080488,-0.800000
4.142299,-0.017566,-0.060273,0.317460,-40.660979,-0.042707,1.849963,-0.800000
4.145652,-0.020675,-0.057527,0.463980,-46.262424,-0.036852,1.607912,-0.800000
4.148974,-0.023785,-0.055085,0.610501,-43.968665,-0.031300,1.331282,-0.800000
4.151233,-0.025861,-0.053254,0.708181,-43.400426,-0.027393,1.123810,-0.800000
4.154557,-0.028976,-0.050202,0.854701,-46.147784,-0.021226,0.835653,-0.800000
4.156797,-0.031054,-0.048371,0.903541,-42.193617,-0.017317,0.639707,-0.800000
4.160130,-0.034173,-0.045624,1.050061,-43.790084,-0.011451,0.374603,-0.800000
4.162346,-0.036254,-0.043488,1.098901,-0.000000,-0.007234,0.201709,-0.800000
4.165645,-0.039378,-0.041047,1.196581,-0.000000,-0.001669,-0.017289,-0.700000
4.167851,-0.041461,-0.039521,1.245421,-0.000000,0.001940,-0.144078,-0.700000
4.171132,-0.044589,-0.037690,1.294261,-0.000000,0.006899,-0.432234,-0.700000
4.173349,-0.046675,-0.036774,1.294261,-0.000000,0.009901,-0.570549,-0.600000
4.176648,-0.049807,-0.035554,1.294261,-0.000000,0.014253,-0.778022,-0.500000
4.178820,-0.051896,-0.035554,1.245421,-0.000000,0.016342,-0.881758,-0.500000
4.182096,-0.055032,-0.035248,1.147741,45.961412,0.019783,-1.031600,-0.400000
4.184282,-0.057124,-0.035859,1.098901,46.599184,0.021265,-1.123810,-0.400000
4.187570,-0.060263,-0.036774,0.952381,45.240727,0.023489,-1.250598,-0.400000
4.189763,-0.062358,-0.037385,0.854701,43.883893,0.024973,-1.319756,-0.300000
4.193048,-0.065502,-0.038911,0.708181,46.199822,0.026592,-1.354335,-0.300000
4.195231,-0.067599,-0.039521,0.659341,-0.000000,0.028078,-1.377387,0.000000
4.198546,-0.070747,-0.041657,0.463980,43.818184,0.029090,-1.423492,0.000000
4.201803,-0.073898,-0.043488,0.317460,43.372859,0.030410,-1.377387,0.000000
4.203977,-0.076000,-0.045014,0.219780,44.387868,0.030986,-1.377387,0.000000
4.207235,-0.079154,-0.047150,0.073260,46.833565,0.032004,-1.365861,0.000000
4.210497,-0.082311,-0.049592,-0.122100,47.211342,0.032720,-1.308230,0.000000
4.212675,-0.084417,-0.051423,-0.219780,46.262424,0.032995,-1.296703,0.000000
4.215930,-0.087579,-0.054170,-0.415140,44.982436,0.033409,-1.250598,0.000000
4.218101,-0.089687,-0.056306,-0.512821,44.571369,0.033382,-1.239072,0.000000
4.221356,-0.092853,-0.059663,-0.708181,91.491743,0.033190,-1.204493,0.000000
4.224617,-0.096020,-0.062409,-0.854701,44.746617,0.033611,-1.239072,0.000000
4.226815,-0.098133,-0.064240,-0.903541,-0.000000,0.033893,-1.204493,0.000000
4.230099,-0.101305,-0.066987,-1.050061,44.532611,0.034318,-1.227546,0.000000
4.232304,-0.103421,-0.068513,-1.098901,42.999583,0.034908,-1.227546,-0.400000
4.235610,-0.106597,-0.070344,-1.147741,-0.000000,0.036253,-1.308230,-0.500000
4.237789,-0.108715,-0.071260,-1.147741,-0.000000,0.037456,-1.365861,-0.500000
4.241045,-0.111895,-0.072480,-1.147741,-46.535668,0.039415,-1.435018,-0.600000
4.244301,-0.115078,-0.072786,-1.098901,-44.992315,0.042292,-1.573333,-0.600000
4.246508,-0.117201,-0.072786,-1.050061,-42.703776,0.044415,-1.677070,-0.800000
4.249766,-0.120387,-0.072480,-0.952381,-41.134541,0.047907,-1.769280,-0.800000
4.251945,-0.122513,-0.071870,-0.903541,-43.008611,0.050643,-1.826911,-0.900000
4.255232,-0.125704,-0.071565,-0.805861,-43.968665,0.054139,-1.953700,-1.000000
