Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
4.124838,-0.001031,0.004730,-0.024420,-0.000000,0.005762,-0.005763,-0.600000
4.126181,-0.002063,0.004730,-0.024420,-0.000000,0.006793,-0.005763,-0.600000
4.128717,-0.004127,0.004730,-0.024420,-0.000000,0.008857,-0.178657,-0.600000
4.131274,-0.006192,0.004730,-0.024420,-0.000000,0.010922,-0.305446,-0.600000
4.135191,-0.009293,0.004730,-0.024420,-0.000000,0.014023,-0.443761,-0.600000
4.137759,-0.011361,0.004730,-0.024420,-0.000000,0.016091,-0.547497,-0.600000
4.140333,-0.013431,0.004425,-0.024420,-0.000000,0.017856,-0.651233,-0.600000
4.142914,-0.015502,0.004425,-0.073260,37.991471,0.019927,-0.720391,-0.600000
4.146549,-0.018611,0.004120,-0.073260,-0.000000,0.022731,-0.847179,-0.600000
4.148880,-0.020685,0.003815,-0.073260,-0.000000,0.024500,-0.950916,-0.600000
4.151184,-0.022761,0.003510,-0.073260,-0.000000,0.026270,-1.020073,-0.600000
4.153441,-0.024837,0.003510,-0.122100,-0.000000,0.028347,-1.089231,-0.600000
4.156788,-0.027954,0.002594,-0.170940,41.891618,0.030548,-1.192967,-0.600000
4.159033,-0.030033,0.002289,-0.170940,-0.000000,0.032322,-1.273651,-0.600000
4.162379,-0.033154,0.001678,-0.219780,43.400426,0.034832,-1.388913,-0.600000
4.164561,-0.035236,0.001373,-0.219780,-0.000000,0.036609,-1.469597,-0.700000
4.167901,-0.038361,0.000458,-0.268620,-0.000000,0.038819,-1.561807,-0.700000
4.170123,-0.040446,-0.000153,-0.268620,-0.000000,0.040293,-1.630965,-0.700000
4.173478,-0.043575,-0.000763,-0.317460,44.015903,0.042812,-1.746227,-0.700000
4.175765,-0.045663,-0.001068,-0.317460,-0.000000,0.044595,-1.826911,-0.700000
4.179141,-0.048796,-0.001984,-0.366300,-0.000000,0.046813,-1.919121,-0.700000
4.181399,-0.050887,-0.002289,-0.366300,-0.000000,0.048598,-1.965226,-0.800000
4.184769,-0.054024,-0.003204,-0.415140,41.019226,0.050820,-2.057436,-0.800000
4.187025,-0.056118,-0.003815,-0.415140,-0.000000,0.052303,-2.126593,-0.800000
4.190391,-0.059260,-0.004425,-0.415140,-0.000000,0.054834,-2.230330,-0.900000
4.192625,-0.061356,-0.005035,-0.463980,-0.000000,0.056320,-2.311013,-0.900000
4.196004,-0.064502,-0.005646,-0.463980,-0.000000,0.058856,-2.403223,-0.900000
4.198339,-0.066601,-0.006256,-0.463980,-0.000000,0.060344,-2.472381,-0.900000
4.201685,-0.069751,-0.006867,-0.512821,-0.000000,0.062884,-2.564591,-1.000000
4.203951,-0.071853,-0.007477,-0.512821,-0.000000,0.064376,-2.633748,-1.000000
4.207348,-0.075007,-0.008392,-0.561661,-0.000000,0.066615,-2.679853,-1.000000
4.209661,-0.077112,-0.009003,-0.561661,-0.000000,0.068109,-2.772063,-1.100000
4.213121,-0.080271,-0.010224,-0.610501,40.009768,0.070047,-2.852747,-1.100000
4.215432,-0.082378,-0.011139,-0.610501,-0.000000,0.071239,-2.898852,-1.100000
4.218815,-0.085542,-0.012360,-0.659341,-0.000000,0.073182,-2.933431,-1.200000
4.221072,-0.087652,-0.013275,-0.708181,-0.000000,0.074376,-2.933431,-1.200000
4.224457,-0.090819,-0.015106,-0.757021,-0.000000,0.075713,-2.991062,-1.200000
4.226735,-0.092932,-0.016327,-0.805861,-0.000000,0.076605,-3.048694,-1.200000
4.228998,-0.095047,-0.018158,-0.903541,43.733991,0.076888,-3.048694,-1.300000
4.232408,-0.098220,-0.019989,-0.952381,-0.000000,0.078231,-3.025641,-1.300000
4.235789,-0.101396,-0.022431,-1.050061,-0.000000,0.078965,-3.071746,-1.300000
4.238065,-0.103515,-0.024262,-1.147741,45.270721,0.079253,-3.002589,-1.400000
4.241415,-0.106695,-0.027008,-1.245421,44.913399,0.079687,-3.071746,-1.400000
4.243652,-0.108817,-0.029145,-1.343101,43.883893,0.079672,-2.968010,-1.500000
4.246991,-0.112001,-0.032197,-1.440781,44.244063,0.079804,-3.014115,-1.500000
4.249220,-0.114125,-0.034333,-1.538462,43.308671,0.079793,-2.921905,-1.500000
4.252563,-0.117314,-0.037690,-1.636142,43.400426,0.079624,-2.910379,-1.500000
4.254951,-0.119441,-0.040131,-1.733822,43.428029,0.079310,-2.829695,-1.600000
4.258255,-0.122634,-0.044099,-1.880342,45.031878,0.078535,-2.749011,-1.600000
4.260464,-0.124764,-0.046235,-1.929182,43.818184,0.078529,-2.760537,-1.700000
