Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
4.124696,-0.001031,-0.562905,-0.024420,-0.000000,-0.561874,-0.005763,0.000000
4.125946,-0.002063,-0.562905,-0.024420,-0.000000,-0.560843,0.017289,0.000000
4.127093,-0.003094,-0.562905,-0.024420,-0.000000,-0.559811,12.269695,0.000000
4.130474,-0.006191,-0.558938,0.268620,-123.181006,-0.552747,23.600000,0.000000
4.132873,-0.008258,-0.553750,0.610501,-227.560556,-0.545492,23.600000,0.000000
4.136402,-0.011359,-0.541238,1.343101,-261.010846,-0.529878,22.770110,0.000000
4.139763,-0.014463,-0.524147,2.319902,-294.687646,-0.509684,21.836484,0.000000
4.141948,-0.016534,-0.511635,3.052503,-309.240907,-0.495101,20.983541,0.000000
4.145221,-0.019642,-0.489052,4.322344,-413.745536,-0.469410,19.669548,0.400000
4.148471,-0.022752,-0.464332,5.641026,-356.106062,-0.441580,18.516923,0.600000
4.150631,-0.024827,-0.446021,6.617827,-502.083363,-0.421194,17.468034,0.700000
4.153913,-0.027942,-0.419471,7.887668,-369.848815,-0.391529,15.658413,0.900000
4.156128,-0.030020,-0.401160,8.717949,-333.021763,-0.371140,15.197363,1.300000
4.159424,-0.033139,-0.377356,9.743590,-274.413948,-0.344217,13.595214,1.700000
4.161685,-0.035219,-0.362707,10.231990,-215.133388,-0.327488,12.972796,2.800000
4.165029,-0.038342,-0.346838,10.573871,-41.076802,-0.308496,12.119853,3.400000
4.167240,-0.040425,-0.340429,10.573871,46.178993,-0.300003,12.154432,4.100000
4.170493,-0.043552,-0.337072,10.085470,216.864294,-0.293519,12.027643,4.800000
4.172671,-0.045639,-0.338903,9.548230,257.672971,-0.293264,11.681856,5.500000
4.176093,-0.048770,-0.344396,8.571429,288.368836,-0.295626,10.264127,6.600000
4.178308,-0.050859,-0.348058,7.985348,278.833955,-0.297200,10.148864,7.000000
4.181639,-0.053994,-0.352331,7.155067,225.655444,-0.298337,10.344811,7.400000
4.183870,-0.056086,-0.355077,6.666667,212.455935,-0.298992,10.437021,7.700000
4.187155,-0.059225,-0.357519,6.080586,183.969477,-0.298294,10.575336,7.900000
4.189388,-0.061320,-0.358129,5.787546,130.394661,-0.296810,10.598388,8.300000
4.192694,-0.064463,-0.357824,5.445665,87.711416,-0.293361,10.725177,8.500000
4.195980,-0.067609,-0.355993,5.201465,88.202373,-0.288384,10.944176,8.600000
4.198197,-0.069708,-0.354162,5.103785,43.733991,-0.284454,10.886545,8.700000
4.201536,-0.072859,-0.351110,4.957265,44.992315,-0.278252,10.736703,8.800000
4.203711,-0.074960,-0.348974,4.908425,-0.000000,-0.274014,10.425495,8.900000
4.206971,-0.078115,-0.344701,4.859585,-0.000000,-0.266587,10.160391,9.000000
4.210256,-0.081271,-0.339513,4.859585,-0.000000,-0.258242,9.803077,9.100000
4.212431,-0.083377,-0.335546,4.908425,-0.000000,-0.252169,9.572552,9.100000
4.215715,-0.086538,-0.328832,5.054945,-44.571369,-0.242294,9.007766,9.200000
4.217914,-0.088647,-0.323949,5.152625,-43.808814,-0.235302,8.719609,9.300000
4.221240,-0.091812,-0.316014,5.299145,-45.593148,-0.224202,8.200928,9.300000
4.224524,-0.094980,-0.307469,5.543346,-89.571496,-0.212490,7.613089,9.400000
4.226745,-0.097093,-0.301671,5.689866,-88.278394,-0.204578,7.232723,9.500000
4.230016,-0.100264,-0.292821,5.885226,-44.025363,-0.192556,6.760147,9.600000
4.232209,-0.102380,-0.287327,5.982906,-47.706104,-0.184947,6.322149,9.800000
4.235469,-0.105556,-0.278782,6.129426,-0.000000,-0.173226,5.826520,9.900000
4.237651,-0.107675,-0.273594,6.227106,-0.000000,-0.165920,5.480733,10.100000
4.241011,-0.110855,-0.265660,6.373626,-44.503587,-0.154805,4.985104,10.200000
4.243208,-0.112976,-0.260777,6.373626,-0.000000,-0.147801,4.673895,10.300000
4.246472,-0.116160,-0.254368,6.373626,42.020515,-0.138208,4.189792,10.600000
4.249738,-0.119346,-0.248264,6.373626,-0.000000,-0.128918,3.682637,10.700000
4.252341,-0.121472,-0.243992,6.324786,35.919694,-0.122519,3.359902,10.800000
4.254868,-0.123599,-0.240024,6.275946,42.132870,-0.116425,3.117851,10.800000
4.258565,-0.126792,-0.234531,6.178266,40.245582,-0.107739,2.656801,10.900000
4.261057,-0.128923,-0.230564,6.129426,39.691923,-0.101641,2.437802,11.000000
4.264532,-0.132120,-0.225376,6.031746,44.063242,-0.093256,2.045910,11.000000
4.266717,-0.134253,-0.222324,5.982906,44.205872,-0.088071,1.780806,11.000000
4.270020,-0.137455,-0.217746,5.885226,43.818184,-0.080291,1.435018,11.100000
4.273343,-0.140659,-0.213169,5.836386,-0.000000,-0.072509,1.112283,11.100000
4.275521,-0.142797,-0.209812,5.787546,-0.000000,-0.067015,0.962442,11.000000
4.278858,-0.146005,-0.205234,5.738706,-0.000000,-0.059229,0.628181,11.000000
4.282200,-0.149216,-0.200656,5.641026,-0.000000,-0.051440,0.351551,11.000000
4.284385,-0.151358,-0.197910,5.592186,-0.000000,-0.046552,0.178657,10.900000
4.287664,-0.154573,-0.193637,5.494505,45.654115,-0.039064,-0.097973,10.800000
4.290940,-0.157790,-0.189059,5.445665,-0.000000,-0.031269,-0.420708,10.700000
4.293145,-0.159936,-0.186618,5.347985,41.823196,-0.026682,-0.651233,10.500000
4.296429,-0.163158,-0.182650,5.250305,47.683895,-0.019493,-0.962442,9.900000
4.299702,-0.166382,-0.179294,5.152625,45.370988,-0.012912,-1.204493,9.500000
4.301898,-0.168532,-0.177157,5.103785,-0.000000,-0.008625,-1.435018,9.000000
4.305184,-0.171760,-0.174105,4.957265,41.934496,-0.002345,-1.550281,8.400000
4.307373,-0.173914,-0.172580,4.810745,44.272750,0.001334,-1.757753,7.000000
4.310647,-0.177146,-0.170443,4.664225,44.378252,0.006703,-1.907595,6.300000
4.313920,-0.180381,-0.168917,4.468864,46.577993,0.011463,-2.068962,5.600000
4.316116,-0.182538,-0.168307,4.322344,83.697656,0.014231,-2.195751,5.000000
4.319413,-0.185777,-0.167086,4.126984,42.429580,0.018691,-2.299487,4.400000
4.321618,-0.187938,-0.166781,3.931624,89.454154,0.021157,-2.345592,3.600000
4.324906,-0.191181,-0.166781,3.687424,89.532348,0.024399,-2.403223,3.200000
4.328220,-0.194426,-0.167086,3.443223,87.786592,0.027340,-2.449328,2.900000
4.330420,-0.196591,-0.167697,3.247863,92.503957,0.028894,-2.483907,2.600000
4.333685,-0.199840,-0.168612,3.003663,88.852749,0.031228,-2.541538,2.400000
4.335893,-0.202008,-0.168917,2.808303,92.337170,0.033091,-2.564591,2.000000
