Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
4.125394,-0.001031,0.015412,-0.024420,-0.000000,0.016443,-0.005763,0.000000
4.126613,-0.002063,0.015412,-0.024420,-0.000000,0.017475,-0.005763,0.000000
4.129926,-0.005160,0.015412,-0.024420,-0.000000,0.020571,-0.593602,0.000000
4.132169,-0.007225,0.015412,-0.024420,-0.000000,0.022637,-0.778022,0.000000
4.135566,-0.010326,0.014801,-0.073260,48.797049,0.025127,-0.950916,0.000000
4.137794,-0.012395,0.014801,-0.073260,-0.000000,0.027196,-1.031600,0.000000
4.141117,-0.015500,0.014496,-0.073260,-0.000000,0.029996,-1.158388,0.000000
4.143352,-0.017571,0.013886,-0.122100,-0.000000,0.031457,-1.227546,0.000000
4.146677,-0.020680,0.012970,-0.170940,-0.000000,0.033651,-1.308230,0.000000
4.148857,-0.022755,0.012360,-0.219780,45.583002,0.035114,-1.365861,0.000000
4.152223,-0.025868,0.011444,-0.268620,44.551982,0.037312,-1.411966,0.000000
4.155567,-0.028984,0.009918,-0.317460,-0.000000,0.038902,-1.481123,0.000000
4.157813,-0.031062,0.009003,-0.366300,-0.000000,0.040065,-1.538755,0.000000
4.161121,-0.034182,0.007172,-0.463980,-0.000000,0.041354,-1.538755,0.000000
4.163311,-0.036264,0.005951,-0.561661,45.532343,0.042215,-1.527228,0.000000
4.166610,-0.039388,0.003815,-0.659341,46.631007,0.043203,-1.584860,0.000000
4.169894,-0.042515,0.001678,-0.757021,47.772857,0.044193,-1.619438,0.000000
4.172080,-0.044600,0.000153,-0.805861,44.426374,0.044753,-1.642491,0.000000
4.175362,-0.047731,-0.002289,-0.903541,-0.000000,0.045442,-1.734701,0.000000
4.177585,-0.049820,-0.003510,-0.952381,-0.000000,0.046310,-1.734701,0.000000
4.180876,-0.052954,-0.005341,-1.001221,-0.000000,0.047614,-1.803858,0.000000
4.183077,-0.055046,-0.006256,-1.050061,-0.000000,0.048789,-1.873016,-0.400000
4.186368,-0.058185,-0.007477,-1.050061,-0.000000,0.050708,-1.965226,-0.400000
4.188574,-0.060279,-0.008087,-1.050061,-0.000000,0.052191,-2.011331,-0.500000
4.191870,-0.063422,-0.008392,-1.001221,-0.000000,0.055029,-2.149646,-0.600000
4.195149,-0.066567,-0.008392,-0.952381,-0.000000,0.058175,-2.264908,-0.700000
4.197349,-0.068666,-0.008392,-0.903541,-44.834759,0.060273,-2.334066,-0.700000
4.199871,-0.070765,-0.008392,-0.854701,-0.000000,0.062373,-2.460855,-0.800000
4.202425,-0.072866,-0.008087,-0.805861,-0.000000,0.064779,-2.506960,-0.800000
4.206247,-0.076020,-0.007782,-0.708181,-39.447335,0.068238,-2.645275,-0.900000
4.208765,-0.078124,-0.008087,-0.708181,-0.000000,0.070037,-2.760537,-0.900000
4.211262,-0.080229,-0.008087,-0.659341,-0.000000,0.072142,-2.875800,-0.900000
4.213736,-0.082336,-0.008392,-0.659341,-0.000000,0.073943,-2.956484,-1.000000
4.217343,-0.085498,-0.008698,-0.659341,-0.000000,0.076800,-3.094799,-1.000000
4.219730,-0.087607,-0.009308,-0.659341,-0.000000,0.078299,-3.175482,-1.000000
4.223088,-0.090774,-0.010224,-0.659341,-0.000000,0.080550,-3.267692,-1.000000
4.226359,-0.093943,-0.011139,-0.659341,-0.000000,0.082804,-3.371429,-1.100000
4.228594,-0.096057,-0.012055,-0.708181,-0.000000,0.084002,-3.406007,-1.100000
4.230857,-0.098172,-0.012970,-0.757021,-0.000000,0.085202,-3.429060,-1.100000
4.234155,-0.101347,-0.014801,-0.805861,-0.000000,0.086546,-3.475165,-1.200000
4.236377,-0.103465,-0.015717,-0.854701,42.855651,0.087748,-3.555849,-1.300000
4.239745,-0.106644,-0.017853,-0.903541,-0.000000,0.088791,-3.601954,-1.300000
4.241965,-0.108764,-0.019074,-0.952381,-0.000000,0.089691,-3.578901,-1.300000
4.245275,-0.111948,-0.021210,-1.050061,44.795542,0.090737,-3.659585,-1.400000
4.247471,-0.114071,-0.022736,-1.098901,43.548047,0.091335,-3.717216,-1.500000
4.250751,-0.117258,-0.024872,-1.147741,-0.000000,0.092386,-3.671111,-1.600000
4.254068,-0.120448,-0.026703,-1.196581,-0.000000,0.093745,-3.763321,-1.700000
4.256248,-0.122576,-0.028229,-1.245421,-0.000000,0.094347,-3.717216,-1.700000
4.259534,-0.125770,-0.030365,-1.343101,44.503587,0.095404,-3.740269,-1.800000
4.261715,-0.127900,-0.031891,-1.391941,45.421289,0.096009,-3.786374,-1.900000
4.264997,-0.131098,-0.034028,-1.440781,42.882565,0.097071,-3.728742,-2.000000
4.267294,-0.133231,-0.035859,-1.489621,41.883053,0.097373,-3.774847,-2.000000
4.270605,-0.136434,-0.038300,-1.538462,-0.000000,0.098133,-3.774847,-2.100000
4.272850,-0.138570,-0.040131,-1.587302,-0.000000,0.098439,-3.774847,-2.200000
4.276164,-0.141776,-0.042573,-1.636142,-0.000000,0.099203,-3.797900,-2.200000
4.278395,-0.143915,-0.044709,-1.733822,42.981538,0.099206,-3.751795,-2.300000
4.281765,-0.147125,-0.047150,-1.782662,-0.000000,0.099975,-3.797900,-2.400000
4.285081,-0.150338,-0.050202,-1.831502,-0.000000,0.100136,-3.728742,-2.500000
4.287308,-0.152482,-0.052033,-1.880342,-0.000000,0.100449,-3.786374,-2.500000
4.290671,-0.155699,-0.055085,-1.978022,44.101187,0.100614,-3.763321,-2.600000
4.292883,-0.157845,-0.056611,-1.978022,-0.000000,0.101234,-3.774847,-2.600000
4.295107,-0.159992,-0.058747,-2.026862,-0.000000,0.101245,-3.717216,-2.800000
4.298428,-0.163215,-0.061494,-2.075702,-0.000000,0.101722,-3.786374,-2.800000
4.300668,-0.165365,-0.063630,-2.124542,-0.000000,0.101735,-3.728742,-2.900000
4.303986,-0.168593,-0.066377,-2.173382,-0.000000,0.102216,-3.763321,-3.000000
4.306194,-0.170745,-0.068208,-2.222222,43.035717,0.102538,-3.763321,-3.000000
4.309544,-0.173977,-0.071260,-2.271062,44.844574,0.102717,-3.774847,-3.100000
4.312849,-0.177211,-0.073701,-2.271062,-0.000000,0.103509,-3.705690,-3.200000
4.315051,-0.179368,-0.075837,-2.319902,-0.000000,0.103530,-3.751795,-3.200000
4.318316,-0.182606,-0.078279,-2.319902,-0.000000,0.104327,-3.740269,-3.200000
4.320493,-0.184766,-0.080110,-2.368742,43.501808,0.104656,-3.763321,-3.200000
4.323834,-0.188008,-0.082856,-2.368742,-0.000000,0.105151,-3.786374,-3.300000
4.327230,-0.191252,-0.085603,-2.417582,42.882565,0.105649,-3.786374,-3.300000
4.329458,-0.193417,-0.087434,-2.417582,-0.000000,0.105983,-3.832479,-3.300000
4.332773,-0.196666,-0.090181,-2.417582,-0.000000,0.106485,-3.797900,-3.300000
4.334950,-0.198833,-0.092317,-2.466422,-0.000000,0.106516,-3.855531,-3.300000
4.338281,-0.202086,-0.095064,-2.515263,44.982436,0.107022,-3.809426,-3.300000
4.340500,-0.204256,-0.096895,-2.515263,-0.000000,0.107361,-3.878584,-3.300000
4.343793,-0.207513,-0.099947,-2.564103,42.150208,0.107566,-3.820952,-3.300000
4.347097,-0.210772,-0.102998,-2.564103,-0.000000,0.107774,-3.809426,-3.300000
4.349285,-0.212946,-0.104829,-2.612943,44.874044,0.108117,-3.786374,-3.300000
4.352610,-0.216210,-0.107881,-2.612943,-0.000000,0.108329,-3.809426,-3.400000
4.355897,-0.219476,-0.110933,-2.661783,-0.000000,0.108543,-3.797900,-3.400000
4.358123,-0.221655,-0.113069,-2.710623,45.441440,0.108586,-3.820952,-3.400000
4.361418,-0.224925,-0.116426,-2.710623,-0.000000,0.108499,-3.786374,-3.400000
4.363634,-0.227107,-0.118257,-2.759463,46.106237,0.108849,-3.751795,-3.500000
4.366963,-0.230381,-0.121614,-2.759463,-0.000000,0.108767,-3.809426,-3.500000
4.370226,-0.233658,-0.124971,-2.808303,-0.000000,0.108687,-3.728742,-3.500000
4.372435,-0.235844,-0.127413,-2.857143,-0.000000,0.108431,-3.763321,-3.500000
4.374675,-0.238031,-0.129854,-2.905983,45.180858,0.108177,-3.694164,-3.500000
4.377990,-0.241314,-0.133516,-2.954823,43.180863,0.107797,-3.625006,-3.500000
4.381290,-0.244599,-0.137179,-3.003663,46.525099,0.107420,-3.648059,-3.500000
4.383754,-0.246790,-0.139620,-3.003663,-0.000000,0.107170,-3.578901,-3.500000
4.386326,-0.248983,-0.142672,-3.052503,-0.000000,0.106311,-3.590427,-3.500000
4.388828,-0.251177,-0.145418,-3.101343,37.607860,0.105759,-3.509744,-3.500000
4.392600,-0.254471,-0.149691,-3.150183,-0.000000,0.104780,-3.463639,-3.500000
4.395049,-0.256668,-0.152743,-3.199023,36.256639,0.103925,-3.440586,-3.400000
4.398422,-0.259966,-0.156710,-3.247863,44.224959,0.103256,-3.429060,-3.400000
4.400603,-0.262166,-0.159457,-3.296703,43.108168,0.102709,-3.313797,-3.400000
4.402779,-0.264367,-0.161593,-3.296703,45.572861,0.102774,-3.325324,-3.400000
4.406038,-0.267671,-0.165255,-3.296703,-0.000000,0.102416,-3.290745,-3.400000
4.409303,-0.270977,-0.168917,-3.345543,-0.000000,0.102060,-3.244640,-3.400000
4.411484,-0.273183,-0.171359,-3.345543,-0.000000,0.101824,-3.267692,-3.400000
4.414792,-0.276493,-0.175021,-3.345543,-0.000000,0.101472,-3.221587,-3.300000
4.417015,-0.278701,-0.177157,-3.394383,-0.000000,0.101544,-3.233114,-3.300000
4.420352,-0.282015,-0.180819,-3.394383,-0.000000,0.101196,-3.233114,-3.300000
