Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
4.124696,-0.001031,-0.562905,-0.02442,-0.21224081549065332,-0.561874,-0.005763,0.0
4.125946,-0.002063,-0.562905,-0.02442,-34.77062636847042,-0.560843,0.017289,0.0
4.127093,-0.003094,-0.562905,-0.02442,-73.42109011039885,-0.559811,12.269695,0.0
4.130474,-0.006191,-0.558938,0.26862,-118.95586454309911,-0.552747,23.6,0.0
4.132873,-0.008258,-0.55375,0.610501,-172.03838918742125,-0.545492,23.6,0.0
4.136402,-0.011359,-0.541238,1.343101,-230.93722360629144,-0.529878,22.77011,0.0
4.139763,-0.014463,-0.524147,2.319902,-291.7301289590693,-0.509684,21.836484,0.0
4.141948,-0.016534,-0.511635,3.052503,-348.7652002865893,-0.495101,20.983541,0.0
4.145221,-0.019642,-0.489052,4.322344,-395.2505855887705,-0.46941,19.669548,0.4
4.148471,-0.022752,-0.464332,5.641026,-423.9986327493047,-0.44158,18.516923,0.6
4.150631,-0.024827,-0.446021,6.617827,-428.4142805879723,-0.421194,17.468034,0.7
4.153913,-0.027942,-0.419471,7.887668,-403.7293655585065,-0.391529,15.658413,0.9
4.156128,-0.03002,-0.40116,8.717949,-348.30412012187395,-0.37114,15.197363,1.3
4.159424,-0.033139,-0.377356,9.74359,-264.65539827083444,-0.344217,13.595214,1.7
4.161685,-0.035219,-0.362707,10.23199,-159.81474718986667,-0.327488,12.972796,2.8
4.165029,-0.038342,-0.346838,10.573871,-44.709695780205365,-0.308496,12.119853,3.4
4.16724,-0.040425,-0.340429,10.573871,67.49701049795225,-0.300003,12.154432,4.1
4.170493,-0.043552,-0.337072,10.08547,163.83088486457706,-0.293519,12.027643,4.8
4.172671,-0.045639,-0.338903,9.54823,234.08828101218137,-0.293264,11.681856,5.5
4.176093,-0.04877,-0.344396,8.571429,272.8339461140198,-0.295626,10.264127,6.6
4.178308,-0.050859,-0.348058,7.985348,280.2151254785117,-0.2972,10.148864,7.0
4.181639,-0.053994,-0.352331,7.155067,261.3848864408113,-0.298337,10.344811,7.4
4.18387,-0.056086,-0.355077,6.666667,224.79149731713355,-0.298992,10.437021,7.7
4.187155,-0.059225,-0.357519,6.080586,179.92477029559706,-0.298294,10.575336,7.9
4.189388,-0.06132,-0.358129,5.787546,135.1941729132755,-0.29681,10.598388,8.3
4.192694,-0.064463,-0.357824,5.445665,96.45951706262164,-0.293361,10.725177,8.5
4.19598,-0.067609,-0.355993,5.201465,66.45129373478068,-0.288384,10.944176,8.6
4.198197,-0.069708,-0.354162,5.103785,45.03136438950646,-0.284454,10.886545,8.7
4.201536,-0.072859,-0.35111,4.957265,30.045173554445316,-0.278252,10.736703,8.8
4.203711,-0.07496,-0.348974,4.908425,18.438020581642313,-0.274014,10.425495,8.9
4.206971,-0.078115,-0.344701,4.859585,7.333800182882379,-0.266587,10.160391,9.0
4.210256,-0.081271,-0.339513,4.859585,-5.143722820109486,-0.258242,9.803077,9.1
4.212431,-0.083377,-0.335546,4.908425,-19.437734806129484,-0.252169,9.572552,9.1
4.215715,-0.086538,-0.328832,5.054945,-34.564417997052786,-0.242294,9.007766,9.2
4.217914,-0.088647,-0.323949,5.152625,-48.52757640753541,-0.235302,8.719609,9.3
4.22124,-0.091812,-0.316014,5.299145,-59.0172893495796,-0.224202,8.200928,9.3
4.224524,-0.09498,-0.307469,5.543346,-64.18070251239345,-0.21249,7.613089,9.4
4.226745,-0.097093,-0.301671,5.689866,-63.21436238223487,-0.204578,7.232723,9.5
4.230016,-0.100264,-0.292821,5.885226,-56.57544883369871,-0.192556,6.760147,9.6
4.232209,-0.10238,-0.287327,5.982906,-45.74816113588722,-0.184947,6.322149,9.8
4.235469,-0.105556,-0.278782,6.129426,-32.68323186742281,-0.173226,5.82652,9.9
4.237651,-0.107675,-0.273594,6.227106,-19.16437966802449,-0.16592,5.480733,10.1
4.241011,-0.110855,-0.26566,6.373626,-6.368340421860507,-0.154805,4.985104,10.2
4.243208,-0.112976,-0.260777,6.373626,5.23187995432275,-0.147801,4.673895,10.3
4.246472,-0.11616,-0.254368,6.373626,15.64489653842475,-0.138208,4.189792,10.6
4.249738,-0.119346,-0.248264,6.373626,24.97812985143894,-0.128918,3.682637,10.7
4.252341,-0.121472,-0.243992,6.324786,33.09287317519552,-0.122519,3.359902,10.8
4.254868,-0.123599,-0.240024,6.275946,39.45181860689385,-0.116425,3.117851,10.8
