Time,TargetPosition,CurrentPosition,Velocity,Acceleration,Error,Current,Torque
12.290881,-1.884967,-0.166781,-15.799756,352.096962,1.718186,-14.367473,-0.180000
12.305642,-1.900459,-0.311131,-20.097680,233.820354,1.589327,-13.053480,-0.460000
12.322499,-1.916821,-0.446021,-21.904762,23.110335,1.470800,-10.932650,-0.750000
12.339804,-1.932132,-0.533608,-20.390720,-115.760631,1.398524,-9.895287,-0.960000
12.356883,-1.945748,-0.604105,-18.485958,-88.383135,1.341644,-9.307448,-1.080000
12.371838,-1.956442,-0.677653,-17.997558,23.045338,1.278789,-8.661978,-1.150000
12.388916,-1.967238,-0.787823,-19.072039,114.851992,1.179414,-7.613089,-1.190000
12.406008,-1.976519,-0.925765,-21.367521,159.080329,1.050754,-6.149255,-1.210000
12.420977,-1.983390,-1.061875,-23.711844,155.711813,0.921515,-4.696947,-1.190000
12.438074,-1.989793,-1.216907,-25.567766,69.534967,0.772886,-2.702906,-1.040000
12.455328,-1.994685,-1.361868,-26.251526,22.745949,0.632818,-1.342808,-0.810000
12.470339,-1.997656,-1.475090,-25.958486,-44.416742,0.522567,-0.374603,-0.570000
12.487243,-1.999566,-1.590448,-25.079365,-47.010904,0.409118,0.570549,-0.430000
12.504091,-1.999955,-1.692378,-23.663004,-70.768083,0.307577,1.239072,-0.350000
12.520976,-1.998828,-1.779049,-21.758242,-112.517858,0.219778,1.803858,-0.300000
12.537870,-1.996180,-1.852293,-19.658120,-135.887239,0.143887,2.207277,-0.260000
12.554785,-1.992009,-1.911192,-17.313797,-132.560405,0.080817,2.403223,-0.210000
12.586653,-1.980035,-2.005493,-13.846154,-67.370098,-0.025458,3.048694,0.150000
12.603539,-1.971523,-2.064088,-13.211233,-0.000000,-0.092565,3.463639,0.360000
12.620387,-1.961544,-2.125734,-12.918193,-23.259908,-0.164190,3.959267,0.480000
12.637473,-1.949920,-2.176394,-11.990232,-94.466227,-0.226475,4.132161,0.530000
12.654354,-1.936957,-2.203250,-10.036630,-159.487275,-0.266293,4.224371,0.550000
12.669286,-1.924279,-2.206607,-7.643468,-163.078595,-0.282328,4.039951,0.580000
12.686195,-1.908560,-2.199283,-5.006105,-138.225379,-0.290723,3.867057,0.620000
12.703180,-1.891330,-2.191653,-3.150183,-115.174863,-0.300323,3.440586,0.630000
12.720042,-1.872814,-2.180056,-1.587302,-116.259939,-0.307243,3.129377,0.530000
12.734859,-1.855398,-2.161440,-0.073260,-114.454136,-0.306042,2.829695,0.380000
12.751759,-1.834245,-2.128786,1.782662,-118.328334,-0.294541,2.391697,0.240000
12.768839,-1.811491,-2.087892,3.589744,-116.497960,-0.276401,1.919121,0.190000
12.785616,-1.787816,-2.041810,5.152625,-70.972403,-0.253993,1.458071,0.180000
12.800514,-1.765713,-1.998474,6.324786,-69.851107,-0.232761,1.008547,0.160000
12.817416,-1.739428,-1.948425,7.350427,-45.345880,-0.208997,0.582076,0.120000
12.834325,-1.711875,-1.898375,8.083028,-44.503587,-0.186500,0.259341,0.060000
12.851377,-1.682843,-1.848325,8.522589,-0.000000,-0.165482,-0.005763,0.000000
12.868214,-1.652976,-1.801938,8.717949,-0.000000,-0.148962,-0.167131,0.000000
12.883016,-1.625759,-1.763790,8.669109,22.781363,-0.138031,-0.270867,0.000000
12.899762,-1.593914,-1.723507,8.473748,23.288996,-0.129593,-0.501392,-0.040000
12.916556,-1.560881,-1.679561,8.522589,-0.000000,-0.118679,-0.697338,-0.120000
12.933472,-1.526535,-1.625544,9.157509,-46.588586,-0.099008,-0.997021,-0.220000
12.950295,-1.491341,-1.559930,10.280830,-67.171280,-0.068588,-1.469597,-0.320000
12.967189,-1.454998,-1.486381,11.501832,-69.946510,-0.031384,-1.942173,-0.400000
12.981904,-1.422550,-1.421073,12.332112,-46.451250,0.001477,-2.380171,-0.470000
12.998731,-1.384577,-1.349355,12.820513,-0.000000,0.035222,-2.841221,-0.530000
13.015632,-1.345542,-1.284047,12.869353,-0.000000,0.061496,-3.037167,-0.590000
13.032546,-1.305619,-1.224842,12.478632,47.113618,0.080778,-3.221587,-0.660000
13.049673,-1.264359,-1.168994,11.990232,46.430193,0.095365,-3.290745,-0.700000
13.066465,-1.223129,-1.117113,11.501832,23.684820,0.106016,-3.233114,-0.700000
13.081264,-1.186195,-1.075303,10.964591,45.715245,0.110891,-3.279219,-0.680000
13.098097,-1.143532,-1.032273,10.231990,45.411220,0.111259,-3.060220,-0.660000
13.114977,-1.100104,-0.995346,9.401709,44.952823,0.104758,-2.887326,-0.650000
13.132157,-1.055279,-0.963607,8.424908,66.409124,0.091672,-2.518486,-0.650000
13.146995,-1.016093,-0.939803,7.594628,63.283909,0.076290,-2.276435,-0.650000
13.164078,-0.970481,-0.914168,6.862027,23.443581,0.056313,-1.942173,-0.650000
13.181005,-0.924804,-0.888533,6.324786,23.395387,0.036271,-1.630965,-0.630000
13.198013,-0.878473,-0.863813,5.885226,45.987207,0.014660,-1.342808,-0.580000
13.214831,-0.832277,-0.840925,5.494505,23.204578,-0.008647,-1.089231,-0.540000
13.229539,-0.791604,-0.822309,5.152625,23.430174,-0.030705,-0.824127,-0.500000
13.246408,-0.744677,-0.801862,4.859585,-0.000000,-0.057185,-0.535971,-0.460000
13.263313,-0.697404,-0.780499,4.664225,-0.000000,-0.083095,-0.224762,-0.430000
13.280190,-0.650008,-0.757305,4.615385,-0.000000,-0.107297,-0.005763,-0.390000
13.297052,-0.602502,-0.731975,4.713065,-0.000000,-0.129474,0.167131,-0.340000
13.313957,-0.554772,-0.703593,5.006105,-23.040154,-0.148821,0.340024,-0.290000
13.328742,-0.512982,-0.675822,5.299145,-23.632904,-0.162840,0.397656,-0.250000
13.345734,-0.464940,-0.641947,5.689866,-23.027205,-0.177007,0.501392,-0.220000
13.362604,-0.417280,-0.606851,6.031746,-23.209836,-0.189571,0.570549,-0.190000
